equipo,partidos_jugados,victoria,empate,derrota,goles_favor,goles_contra,Ratio V/PJ
Venezuela,120,35,32,53,136.0,170.0,0.2916666666666667
Malawi,124,35,38,51,100.0,138.0,0.28225806451612906
Kenya,107,35,40,32,112.0,114.0,0.32710280373831774
Kyrgyzstan,95,34,20,41,126.0,137.0,0.35789473684210527
Kuwait,121,34,36,51,145.0,170.0,0.2809917355371901
Lebanon,107,34,30,43,119.0,115.0,0.3177570093457944
Botswana,113,34,24,55,97.0,133.0,0.3008849557522124
Benin,95,33,28,34,103.0,117.0,0.3473684210526316
Tajikistan,95,33,25,37,129.0,124.0,0.3473684210526316
Namibia,101,33,27,41,95.0,113.0,0.32673267326732675
Saint Kitts and Nevis,80,33,14,33,125.0,136.0,0.4125
Paraguay,121,32,36,53,114.0,163.0,0.2644628099173554
Comoros,109,32,29,48,112.0,143.0,0.29357798165137616
New Zealand,82,32,15,35,127.0,89.0,0.3902439024390244
Zimbabwe,104,31,39,34,128.0,113.0,0.2980769230769231
Kazakhstan,114,31,24,59,117.0,189.0,0.2719298245614035
Equatorial Guinea,95,31,25,39,91.0,107.0,0.3263157894736842
Cambodia,106,30,12,64,129.0,232.0,0.2830188679245283
Myanmar,113,30,20,63,118.0,254.0,0.26548672566371684
Tanzania,119,29,37,53,104.0,143.0,0.24369747899159663
Bulgaria,111,29,31,51,113.0,178.0,0.26126126126126126
Libya,90,29,24,37,95.0,106.0,0.32222222222222224
Armenia,113,28,23,62,135.0,235.0,0.24778761061946902
Cuba,89,28,14,47,98.0,168.0,0.3146067415730337
Rwanda,90,28,25,37,88.0,87.0,0.3111111111111111
Luxembourg,117,27,23,67,96.0,208.0,0.23076923076923078
Bolivia,123,27,16,80,112.0,253.0,0.21951219512195122
Azerbaijan,115,26,27,62,103.0,191.0,0.22608695652173913
Faroe Islands,104,26,19,59,88.0,172.0,0.25
Togo,92,25,30,37,100.0,112.0,0.2717391304347826
Maldives,87,25,9,53,101.0,175.0,0.28735632183908044
Cyprus,111,25,18,68,106.0,210.0,0.22522522522522523
Bangladesh,98,25,27,46,80.0,167.0,0.25510204081632654
Niger,94,24,22,48,98.0,143.0,0.2553191489361702
Ethiopia,92,23,28,41,99.0,134.0,0.25
Burundi,81,23,22,36,97.0,109.0,0.2839506172839506
Latvia,119,23,36,60,105.0,188.0,0.19327731092436976
Lesotho,109,22,36,51,78.0,150.0,0.2018348623853211
Sudan,98,21,28,49,74.0,131.0,0.21428571428571427
